"interaction","cell1","cell2","p-value"
"INHBC_ACVR1B_ACVR2B","Macrophage","Macrophage","0"
"INHBC_ACVR1B_ACVR2B","NK Cell","Macrophage","0"
"INHBC_ACVR1B_ACVR2B","T Cell","Macrophage","0"
"INHBC_ACVR1B_ACVR2B","B Cell","T Cell","0.03"
"INHBC_ACVR1C_ACVR2B","B Cell","Macrophage","0"
"INHBC_ACVR1C_ACVR2B","Macrophage","Macrophage","0"
"INHBC_ACVR1C_ACVR2B","NK Cell","Macrophage","0"
"INHBC_ACVR1C_ACVR2B","T Cell","Macrophage","0"
"INHBABB_ACVR1B_ACVR2A","Macrophage","B Cell","0.02"
"INHBABB_ACVR1B_ACVR2A","Macrophage","T Cell","0"
"INHBABB_ACVR1B_ACVR2B","Macrophage","Macrophage","0"
"INHBABB_ACVR1B_ACVR2B","T Cell","Macrophage","0.02"
"INHBABB_ACVR1B_ACVR2B","Macrophage","T Cell","0.02"
"INHB_ACVR1C_ACVR2B","Macrophage","Macrophage","0"
"INHB_ACVR1C_ACVR2B","T Cell","Macrophage","0.04"
"WNT10A_FZD1_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT10A_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT10A_FZD1_LRP5","T Cell","Macrophage","0"
"WNT10A_FZD10_LRP5","B Cell","B Cell","0"
"WNT10A_FZD10_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD10_LRP5","Macrophage","Macrophage","0.03"
"WNT10A_FZD10_LRP5","NK Cell","Macrophage","0.04"
"WNT10A_FZD10_LRP5","T Cell","Macrophage","0.04"
"WNT10A_FZD10_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD10_LRP5","B Cell","T Cell","0"
"WNT10A_FZD2_LRP5","B Cell","B Cell","0"
"WNT10A_FZD2_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD2_LRP5","Macrophage","Macrophage","0.03"
"WNT10A_FZD2_LRP5","NK Cell","Macrophage","0.04"
"WNT10A_FZD2_LRP5","T Cell","Macrophage","0.04"
"WNT10A_FZD2_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD2_LRP5","B Cell","T Cell","0"
"WNT10A_FZD3_LRP5","B Cell","B Cell","0"
"WNT10A_FZD3_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD3_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD3_LRP5","B Cell","T Cell","0"
"WNT10A_FZD4_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT10A_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT10A_FZD4_LRP5","T Cell","Macrophage","0"
"WNT10A_FZD5_LRP5","B Cell","B Cell","0"
"WNT10A_FZD5_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD5_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD5_LRP5","B Cell","T Cell","0"
"WNT10A_FZD6_LRP5","B Cell","B Cell","0"
"WNT10A_FZD6_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD6_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD6_LRP5","B Cell","T Cell","0"
"WNT10A_FZD7_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT10A_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT10A_FZD7_LRP5","T Cell","Macrophage","0"
"WNT10A_FZD7_LRP5","B Cell","T Cell","0"
"WNT10A_FZD8_LRP5","B Cell","B Cell","0"
"WNT10A_FZD8_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD8_LRP5","Macrophage","Macrophage","0.03"
"WNT10A_FZD8_LRP5","NK Cell","Macrophage","0.03"
"WNT10A_FZD8_LRP5","T Cell","Macrophage","0.03"
"WNT10A_FZD8_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD8_LRP5","B Cell","T Cell","0"
"WNT10A_FZD9_LRP5","B Cell","B Cell","0"
"WNT10A_FZD9_LRP5","B Cell","Macrophage","0"
"WNT10A_FZD9_LRP5","Macrophage","Macrophage","0.04"
"WNT10A_FZD9_LRP5","NK Cell","Macrophage","0.04"
"WNT10A_FZD9_LRP5","T Cell","Macrophage","0.04"
"WNT10A_FZD9_LRP5","B Cell","NK Cell","0"
"WNT10A_FZD9_LRP5","B Cell","T Cell","0"
"WNT10B_FZD1_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD1_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD1_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD1_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD10_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD10_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD10_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD10_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD2_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD2_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD2_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD2_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD3_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD3_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD3_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD3_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD4_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD4_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD4_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD4_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD5_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD5_LRP5","Macrophage","Macrophage","0.02"
"WNT10B_FZD5_LRP5","NK Cell","Macrophage","0.02"
"WNT10B_FZD5_LRP5","T Cell","Macrophage","0.02"
"WNT10B_FZD5_LRP5","B Cell","NK Cell","0"
"WNT10B_FZD5_LRP5","Macrophage","NK Cell","0.04"
"WNT10B_FZD5_LRP5","NK Cell","NK Cell","0.03"
"WNT10B_FZD5_LRP5","T Cell","NK Cell","0.03"
"WNT10B_FZD6_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD6_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD6_LRP5","NK Cell","Macrophage","0.01"
"WNT10B_FZD6_LRP5","T Cell","Macrophage","0.01"
"WNT10B_FZD7_LRP5","B Cell","Macrophage","0"
"WNT10B_FZD7_LRP5","Macrophage","Macrophage","0"
"WNT10B_FZD7_LRP5","NK Cell","Macrophage","0"
"WNT10B_FZD7_LRP5","T Cell","Macrophage","0"
"WNT10B_FZD8_LRP5","B Cell","Macrophage","0"
