"","interaction","cell1","cell2","p-value"
"28160","MDK_PTPRZ1","ab T Cell","Granulocytes","0"
"28161","MDK_PTPRZ1","Dendritic Cell","Granulocytes","0"
"28162","MDK_PTPRZ1","Eosinophil","Granulocytes","0"
"28163","MDK_PTPRZ1","gd T cells","Granulocytes","0"
"28164","MDK_PTPRZ1","Granulocytes","Granulocytes","0.01"
"28165","MDK_PTPRZ1","Macrophage","Granulocytes","0"
"28166","MDK_PTPRZ1","Mast Cells","Granulocytes","0"
"28167","MDK_PTPRZ1","Microglia","Granulocytes","0.01"
"28168","MDK_PTPRZ1","Monocyte","Granulocytes","0"
"28169","MDK_PTPRZ1","Stromal Cells","Granulocytes","0"
"28170","MDK_PTPRZ1","T Cell","Granulocytes","0.02"
"28171","MDK_PTPRZ1","ab T Cell","Innate Lymphocytes","0"
"28172","MDK_PTPRZ1","Dendritic Cell","Innate Lymphocytes","0"
"28173","MDK_PTPRZ1","Eosinophil","Innate Lymphocytes","0.02"
"28174","MDK_PTPRZ1","gd T cells","Innate Lymphocytes","0.01"
"28175","MDK_PTPRZ1","Granulocytes","Innate Lymphocytes","0.02"
"28176","MDK_PTPRZ1","Macrophage","Innate Lymphocytes","0"
"28177","MDK_PTPRZ1","Mast Cells","Innate Lymphocytes","0"
"28178","MDK_PTPRZ1","Microglia","Innate Lymphocytes","0.02"
"28179","MDK_PTPRZ1","Monocyte","Innate Lymphocytes","0.01"
"28180","MDK_PTPRZ1","Stromal Cells","Innate Lymphocytes","0"
"28181","MDK_PTPRZ1","Dendritic Cell","Macrophage","0"
"28182","MDK_PTPRZ1","Stromal Cells","Macrophage","0"
"28183","MDK_PTPRZ1","Stromal Cells","Mast Cells","0"
"28184","MDK_PTPRZ1","ab T Cell","Microglia","0"
"28185","MDK_PTPRZ1","Dendritic Cell","Microglia","0"
"28186","MDK_PTPRZ1","Eosinophil","Microglia","0.01"
"28187","MDK_PTPRZ1","gd T cells","Microglia","0"
"28188","MDK_PTPRZ1","Granulocytes","Microglia","0.03"
"28189","MDK_PTPRZ1","Macrophage","Microglia","0.01"
"28190","MDK_PTPRZ1","Mast Cells","Microglia","0"
"28191","MDK_PTPRZ1","Microglia","Microglia","0.02"
"28192","MDK_PTPRZ1","Monocyte","Microglia","0.01"
"28193","MDK_PTPRZ1","Stromal Cells","Microglia","0"
"28194","MDK_PTPRZ1","Dendritic Cell","Monocyte","0"
"28195","MDK_PTPRZ1","Stromal Cells","Monocyte","0"
"28196","MDK_PTPRZ1","Dendritic Cell","NK Cell","0"
"28197","MDK_PTPRZ1","Stromal Cells","NK Cell","0"
"28198","MDK_PTPRZ1","Stromal Cells","Stem Cells","0"
"28199","MDK_PTPRZ1","ab T Cell","Stromal Cells","0"
"28200","MDK_PTPRZ1","Dendritic Cell","Stromal Cells","0"
"28201","MDK_PTPRZ1","Eosinophil","Stromal Cells","0.01"
"28202","MDK_PTPRZ1","gd T cells","Stromal Cells","0.01"
"28203","MDK_PTPRZ1","Granulocytes","Stromal Cells","0.01"
"28204","MDK_PTPRZ1","Macrophage","Stromal Cells","0"
"28205","MDK_PTPRZ1","Mast Cells","Stromal Cells","0.01"
"28206","MDK_PTPRZ1","Microglia","Stromal Cells","0.01"
"28207","MDK_PTPRZ1","Monocyte","Stromal Cells","0.01"
"28208","MDK_PTPRZ1","Stromal Cells","Stromal Cells","0"
"28209","MDK_PTPRZ1","Dendritic Cell","T Cell","0"
"28210","MDK_PTPRZ1","Stromal Cells","T Cell","0"
"28211","PTN_PTPRZ1","Granulocytes","ab T Cell","0.02"
"28212","PTN_PTPRZ1","Microglia","ab T Cell","0"
"28213","PTN_PTPRZ1","Stem Cells","ab T Cell","0"
"28214","PTN_PTPRZ1","Stromal Cells","ab T Cell","0"
"28215","PTN_PTPRZ1","Granulocytes","B Cell","0.01"
"28216","PTN_PTPRZ1","Microglia","B Cell","0"
"28217","PTN_PTPRZ1","Stem Cells","B Cell","0"
"28218","PTN_PTPRZ1","Stromal Cells","B Cell","0"
"28219","PTN_PTPRZ1","ab T Cell","Basophils","0"
"28220","PTN_PTPRZ1","B Cell","Basophils","0"
"28221","PTN_PTPRZ1","Dendritic Cell","Basophils","0"
"28222","PTN_PTPRZ1","Eosinophil","Basophils","0.04"
"28223","PTN_PTPRZ1","gd T cells","Basophils","0"
"28224","PTN_PTPRZ1","Granulocytes","Basophils","0"
"28225","PTN_PTPRZ1","Innate Lymphocytes","Basophils","0"
"28226","PTN_PTPRZ1","Macrophage","Basophils","0"
"28227","PTN_PTPRZ1","Mast Cells","Basophils","0"
"28228","PTN_PTPRZ1","Microglia","Basophils","0"
"28229","PTN_PTPRZ1","Monocyte","Basophils","0"
"28230","PTN_PTPRZ1","NK Cell","Basophils","0"
"28231","PTN_PTPRZ1","Stem Cells","Basophils","0"
"28232","PTN_PTPRZ1","Stromal Cells","Basophils","0"
"28233","PTN_PTPRZ1","T Cell","Basophils","0"
"28234","PTN_PTPRZ1","Granulocytes","Dendritic Cell","0.01"
"28235","PTN_PTPRZ1","Microglia","Dendritic Cell","0"
"28236","PTN_PTPRZ1","Stem Cells","Dendritic Cell","0"
"28237","PTN_PTPRZ1","Stromal Cells","Dendritic Cell","0"
"28238","PTN_PTPRZ1","ab T Cell","Eosinophil","0.02"
"28239","PTN_PTPRZ1","B Cell","Eosinophil","0"
"28240","PTN_PTPRZ1","Basophils","Eosinophil","0.04"
"28241","PTN_PTPRZ1","Dendritic Cell","Eosinophil","0"
"28242","PTN_PTPRZ1","gd T cells","Eosinophil","0"
"28243","PTN_PTPRZ1","Granulocytes","Eosinophil","0"
"28244","PTN_PTPRZ1","Innate Lymphocytes","Eosinophil","0"
"28245","PTN_PTPRZ1","Macrophage","Eosinophil","0"
"28246","PTN_PTPRZ1","Mast Cells","Eosinophil","0.01"
"28247","PTN_PTPRZ1","Microglia","Eosinophil","0"
"28248","PTN_PTPRZ1","Monocyte","Eosinophil","0"
"28249","PTN_PTPRZ1","NK Cell","Eosinophil","0.02"
"28250","PTN_PTPRZ1","Stem Cells","Eosinophil","0"
"28251","PTN_PTPRZ1","Stromal Cells","Eosinophil","0"
"28252","PTN_PTPRZ1","T Cell","Eosinophil","0.01"
"28253","PTN_PTPRZ1","Granulocytes","gd T cells","0.02"
"28254","PTN_PTPRZ1","Microglia","gd T cells","0"
"28255","PTN_PTPRZ1","Stem Cells","gd T cells","0"
"28256","PTN_PTPRZ1","Stromal Cells","gd T cells","0"
"28257","PTN_PTPRZ1","ab T Cell","Granulocytes","0.01"
"28258","PTN_PTPRZ1","B Cell","Granulocytes","0"
"28259","PTN_PTPRZ1","Dendritic Cell","Granulocytes","0"
"28260","PTN_PTPRZ1","gd T cells","Granulocytes","0.01"
"28261","PTN_PTPRZ1","Granulocytes","Granulocytes","0"
"28262","PTN_PTPRZ1","Innate Lymphocytes","Granulocytes","0"
"28263","PTN_PTPRZ1","Macrophage","Granulocytes","0"
"28264","PTN_PTPRZ1","Mast Cells","Granulocytes","0.02"
"28265","PTN_PTPRZ1","Microglia","Granulocytes","0"
"28266","PTN_PTPRZ1","Monocyte","Granulocytes","0"
"28267","PTN_PTPRZ1","NK Cell","Granulocytes","0.01"
"28268","PTN_PTPRZ1","Stem Cells","Granulocytes","0"
"28269","PTN_PTPRZ1","Stromal Cells","Granulocytes","0"
"28270","PTN_PTPRZ1","T Cell","Granulocytes","0.01"
"28271","PTN_PTPRZ1","ab T Cell","Innate Lymphocytes","0.04"
"28272","PTN_PTPRZ1","B Cell","Innate Lymphocytes","0.02"
"28273","PTN_PTPRZ1","Dendritic Cell","Innate Lymphocytes","0.01"
"28274","PTN_PTPRZ1","gd T cells","Innate Lymphocytes","0.01"
"28275","PTN_PTPRZ1","Granulocytes","Innate Lymphocytes","0"
"28276","PTN_PTPRZ1","Innate Lymphocytes","Innate Lymphocytes","0.02"
"28277","PTN_PTPRZ1","Macrophage","Innate Lymphocytes","0"
"28278","PTN_PTPRZ1","Microglia","Innate Lymphocytes","0"
"28279","PTN_PTPRZ1","Monocyte","Innate Lymphocytes","0"
"28280","PTN_PTPRZ1","Stem Cells","Innate Lymphocytes","0"
"28281","PTN_PTPRZ1","Stromal Cells","Innate Lymphocytes","0"
"28282","PTN_PTPRZ1","T Cell","Innate Lymphocytes","0.03"
"28283","PTN_PTPRZ1","Granulocytes","Macrophage","0.01"
"28284","PTN_PTPRZ1","Microglia","Macrophage","0"
"28285","PTN_PTPRZ1","Stem Cells","Macrophage","0"
"28286","PTN_PTPRZ1","Stromal Cells","Macrophage","0"
"28287","PTN_PTPRZ1","Microglia","Mast Cells","0"
"28288","PTN_PTPRZ1","Stem Cells","Mast Cells","0.02"
"28289","PTN_PTPRZ1","Stromal Cells","Mast Cells","0"
"28290","PTN_PTPRZ1","ab T Cell","Microglia","0.04"
"28291","PTN_PTPRZ1","B Cell","Microglia","0.02"
"28292","PTN_PTPRZ1","Dendritic Cell","Microglia","0.01"
"28293","PTN_PTPRZ1","gd T cells","Microglia","0.01"
"28294","PTN_PTPRZ1","Granulocytes","Microglia","0"
"28295","PTN_PTPRZ1","Innate Lymphocytes","Microglia","0.02"
"28296","PTN_PTPRZ1","Macrophage","Microglia","0.01"
"28297","PTN_PTPRZ1","Microglia","Microglia","0"
"28298","PTN_PTPRZ1","Monocyte","Microglia","0.02"
"28299","PTN_PTPRZ1","Stem Cells","Microglia","0"
"28300","PTN_PTPRZ1","Stromal Cells","Microglia","0"
"28301","PTN_PTPRZ1","T Cell","Microglia","0.04"
"28302","PTN_PTPRZ1","Granulocytes","Monocyte","0.01"
"28303","PTN_PTPRZ1","Microglia","Monocyte","0"
"28304","PTN_PTPRZ1","Stem Cells","Monocyte","0"
"28305","PTN_PTPRZ1","Stromal Cells","Monocyte","0"
"28306","PTN_PTPRZ1","Microglia","NK Cell","0"
"28307","PTN_PTPRZ1","Stem Cells","NK Cell","0"
"28308","PTN_PTPRZ1","Stromal Cells","NK Cell","0"
"28309","PTN_PTPRZ1","Microglia","Stem Cells","0"
"28310","PTN_PTPRZ1","Stem Cells","Stem Cells","0.02"
"28311","PTN_PTPRZ1","Stromal Cells","Stem Cells","0"
"28312","PTN_PTPRZ1","ab T Cell","Stromal Cells","0.01"
"28313","PTN_PTPRZ1","B Cell","Stromal Cells","0.02"
"28314","PTN_PTPRZ1","Dendritic Cell","Stromal Cells","0"
"28315","PTN_PTPRZ1","gd T cells","Stromal Cells","0.01"
"28316","PTN_PTPRZ1","Granulocytes","Stromal Cells","0"
"28317","PTN_PTPRZ1","Innate Lymphocytes","Stromal Cells","0.02"
"28318","PTN_PTPRZ1","Macrophage","Stromal Cells","0"
"28319","PTN_PTPRZ1","Microglia","Stromal Cells","0"
"28320","PTN_PTPRZ1","Monocyte","Stromal Cells","0"
"28321","PTN_PTPRZ1","NK Cell","Stromal Cells","0.03"
"28322","PTN_PTPRZ1","Stem Cells","Stromal Cells","0"
"28323","PTN_PTPRZ1","Stromal Cells","Stromal Cells","0"
"28324","PTN_PTPRZ1","T Cell","Stromal Cells","0.02"
"28325","PTN_PTPRZ1","Granulocytes","T Cell","0.03"
"28326","PTN_PTPRZ1","Microglia","T Cell","0"
"28327","PTN_PTPRZ1","Stem Cells","T Cell","0"
"28328","PTN_PTPRZ1","Stromal Cells","T Cell","0"
"28329","PTN_SDC2","Microglia","ab T Cell","0"
"28330","PTN_SDC2","Stem Cells","ab T Cell","0.01"
"28331","PTN_SDC2","Stromal Cells","ab T Cell","0"
"28332","PTN_SDC2","Microglia","B Cell","0"
"28333","PTN_SDC2","Stem Cells","B Cell","0"
"28334","PTN_SDC2","Stromal Cells","B Cell","0"
"28335","PTN_SDC2","Microglia","Basophils","0.03"
"28336","PTN_SDC2","Stromal Cells","Basophils","0"
"28337","PTN_SDC2","Dendritic Cell","Dendritic Cell","0"
"28338","PTN_SDC2","gd T cells","Dendritic Cell","0.01"
"28339","PTN_SDC2","Granulocytes","Dendritic Cell","0"
"28340","PTN_SDC2","Innate Lymphocytes","Dendritic Cell","0.04"
"28341","PTN_SDC2","Macrophage","Dendritic Cell","0"
"28342","PTN_SDC2","Microglia","Dendritic Cell","0"
"28343","PTN_SDC2","Monocyte","Dendritic Cell","0"
"28344","PTN_SDC2","Stem Cells","Dendritic Cell","0"
"28345","PTN_SDC2","Stromal Cells","Dendritic Cell","0"
"28346","PTN_SDC2","Microglia","Eosinophil","0.03"
"28347","PTN_SDC2","Stromal Cells","Eosinophil","0"
"28348","PTN_SDC2","Microglia","gd T cells","0"
"28349","PTN_SDC2","Stem Cells","gd T cells","0.01"
"28350","PTN_SDC2","Stromal Cells","gd T cells","0"
"28351","PTN_SDC2","Microglia","Granulocytes","0.04"
"28352","PTN_SDC2","Stromal Cells","Granulocytes","0"
"28353","PTN_SDC2","ab T Cell","Innate Lymphocytes","0.03"
"28354","PTN_SDC2","B Cell","Innate Lymphocytes","0.02"
"28355","PTN_SDC2","Dendritic Cell","Innate Lymphocytes","0.01"
"28356","PTN_SDC2","gd T cells","Innate Lymphocytes","0.02"
"28357","PTN_SDC2","Granulocytes","Innate Lymphocytes","0"
"28358","PTN_SDC2","Innate Lymphocytes","Innate Lymphocytes","0.01"
"28359","PTN_SDC2","Macrophage","Innate Lymphocytes","0.01"
"28360","PTN_SDC2","Microglia","Innate Lymphocytes","0"
"28361","PTN_SDC2","Monocyte","Innate Lymphocytes","0.01"
"28362","PTN_SDC2","Stem Cells","Innate Lymphocytes","0"
"28363","PTN_SDC2","Stromal Cells","Innate Lymphocytes","0"
"28364","PTN_SDC2","T Cell","Innate Lymphocytes","0.01"
"28365","PTN_SDC2","Dendritic Cell","Macrophage","0.04"
"28366","PTN_SDC2","Granulocytes","Macrophage","0"
"28367","PTN_SDC2","Macrophage","Macrophage","0.01"
"28368","PTN_SDC2","Microglia","Macrophage","0"
"28369","PTN_SDC2","Monocyte","Macrophage","0.03"
"28370","PTN_SDC2","Stem Cells","Macrophage","0"
"28371","PTN_SDC2","Stromal Cells","Macrophage","0"
"28372","PTN_SDC2","Microglia","Mast Cells","0.03"
"28373","PTN_SDC2","Stromal Cells","Mast Cells","0"
"28374","PTN_SDC2","Granulocytes","Microglia","0.01"
"28375","PTN_SDC2","Microglia","Microglia","0"
"28376","PTN_SDC2","Stem Cells","Microglia","0"
"28377","PTN_SDC2","Stromal Cells","Microglia","0"
"28378","PTN_SDC2","Microglia","Monocyte","0"
"28379","PTN_SDC2","Stem Cells","Monocyte","0"
"28380","PTN_SDC2","Stromal Cells","Monocyte","0"
"28381","PTN_SDC2","Microglia","NK Cell","0.02"
"28382","PTN_SDC2","Stem Cells","NK Cell","0.04"
"28383","PTN_SDC2","Stromal Cells","NK Cell","0"
"28384","PTN_SDC2","ab T Cell","Stem Cells","0"
"28385","PTN_SDC2","B Cell","Stem Cells","0"
"28386","PTN_SDC2","Basophils","Stem Cells","0.04"
"28387","PTN_SDC2","Dendritic Cell","Stem Cells","0"
"28388","PTN_SDC2","Eosinophil","Stem Cells","0.03"
"28389","PTN_SDC2","gd T cells","Stem Cells","0"
"28390","PTN_SDC2","Granulocytes","Stem Cells","0"
"28391","PTN_SDC2","Innate Lymphocytes","Stem Cells","0"
"28392","PTN_SDC2","Macrophage","Stem Cells","0"
"28393","PTN_SDC2","Mast Cells","Stem Cells","0"
"28394","PTN_SDC2","Microglia","Stem Cells","0"
"28395","PTN_SDC2","Monocyte","Stem Cells","0"
"28396","PTN_SDC2","NK Cell","Stem Cells","0"
"28397","PTN_SDC2","Stem Cells","Stem Cells","0"
"28398","PTN_SDC2","Stromal Cells","Stem Cells","0"
"28399","PTN_SDC2","T Cell","Stem Cells","0"
"28400","PTN_SDC2","ab T Cell","Stromal Cells","0"
"28401","PTN_SDC2","B Cell","Stromal Cells","0"
"28402","PTN_SDC2","Basophils","Stromal Cells","0.03"
"28403","PTN_SDC2","Dendritic Cell","Stromal Cells","0"
"28404","PTN_SDC2","Eosinophil","Stromal Cells","0.02"
"28405","PTN_SDC2","gd T cells","Stromal Cells","0"
"28406","PTN_SDC2","Granulocytes","Stromal Cells","0"
"28407","PTN_SDC2","Innate Lymphocytes","Stromal Cells","0"
"28408","PTN_SDC2","Macrophage","Stromal Cells","0"
"28409","PTN_SDC2","Mast Cells","Stromal Cells","0"
"28410","PTN_SDC2","Microglia","Stromal Cells","0"
"28411","PTN_SDC2","Monocyte","Stromal Cells","0"
"28412","PTN_SDC2","NK Cell","Stromal Cells","0"
"28413","PTN_SDC2","Stem Cells","Stromal Cells","0"
"28414","PTN_SDC2","Stromal Cells","Stromal Cells","0"
"28415","PTN_SDC2","T Cell","Stromal Cells","0"
"28416","PTN_SDC2","Microglia","T Cell","0.01"
"28417","PTN_SDC2","Stem Cells","T Cell","0.01"
"28418","PTN_SDC2","Stromal Cells","T Cell","0"
"28419","AGT_AGTR1A","Stromal Cells","ab T Cell","0"
"28420","AGT_AGTR1A","Stromal Cells","B Cell","0"
"28421","AGT_AGTR1A","Stromal Cells","Basophils","0.03"
"28422","AGT_AGTR1A","Dendritic Cell","Dendritic Cell","0.04"
"28423","AGT_AGTR1A","Stromal Cells","Dendritic Cell","0"
"28424","AGT_AGTR1A","Stromal Cells","Eosinophil","0.02"
"28425","AGT_AGTR1A","Stromal Cells","gd T cells","0"
"28426","AGT_AGTR1A","Stromal Cells","Granulocytes","0"
"28427","AGT_AGTR1A","Stromal Cells","Innate Lymphocytes","0"
"28428","AGT_AGTR1A","Dendritic Cell","Macrophage","0"
"28429","AGT_AGTR1A","Macrophage","Macrophage","0"
"28430","AGT_AGTR1A","Monocyte","Macrophage","0"
"28431","AGT_AGTR1A","Stromal Cells","Macrophage","0"
"28432","AGT_AGTR1A","Stromal Cells","Mast Cells","0"
"28433","AGT_AGTR1A","Stromal Cells","Microglia","0"
"28434","AGT_AGTR1A","Stromal Cells","Monocyte","0"
"28435","AGT_AGTR1A","Stromal Cells","NK Cell","0"
"28436","AGT_AGTR1A","Stromal Cells","Stem Cells","0"
"28437","AGT_AGTR1A","ab T Cell","Stromal Cells","0"
"28438","AGT_AGTR1A","B Cell","Stromal Cells","0"
"28439","AGT_AGTR1A","Basophils","Stromal Cells","0"
"28440","AGT_AGTR1A","Dendritic Cell","Stromal Cells","0"
"28441","AGT_AGTR1A","Eosinophil","Stromal Cells","0"
"28442","AGT_AGTR1A","gd T cells","Stromal Cells","0"
"28443","AGT_AGTR1A","Granulocytes","Stromal Cells","0"
"28444","AGT_AGTR1A","Innate Lymphocytes","Stromal Cells","0"
"28445","AGT_AGTR1A","Macrophage","Stromal Cells","0"
"28446","AGT_AGTR1A","Mast Cells","Stromal Cells","0"
"28447","AGT_AGTR1A","Microglia","Stromal Cells","0"
"28448","AGT_AGTR1A","Monocyte","Stromal Cells","0"
"28449","AGT_AGTR1A","NK Cell","Stromal Cells","0"
"28450","AGT_AGTR1A","Stem Cells","Stromal Cells","0"
"28451","AGT_AGTR1A","Stromal Cells","Stromal Cells","0"
"28452","AGT_AGTR1A","T Cell","Stromal Cells","0"
"28453","AGT_AGTR1A","Stromal Cells","T Cell","0"
"28454","AGT_AGTR1B","Dendritic Cell","ab T Cell","0.02"
"28455","AGT_AGTR1B","Monocyte","ab T Cell","0.03"
"28456","AGT_AGTR1B","Stromal Cells","ab T Cell","0"
"28457","AGT_AGTR1B","Dendritic Cell","B Cell","0.02"
"28458","AGT_AGTR1B","Monocyte","B Cell","0.04"
"28459","AGT_AGTR1B","Stromal Cells","B Cell","0"
"28460","AGT_AGTR1B","Stromal Cells","Basophils","0"
"28461","AGT_AGTR1B","Dendritic Cell","Dendritic Cell","0.01"
"28462","AGT_AGTR1B","Monocyte","Dendritic Cell","0.03"
"28463","AGT_AGTR1B","Stromal Cells","Dendritic Cell","0"
"28464","AGT_AGTR1B","Stromal Cells","Eosinophil","0"
"28465","AGT_AGTR1B","Dendritic Cell","gd T cells","0"
"28466","AGT_AGTR1B","Macrophage","gd T cells","0.04"
"28467","AGT_AGTR1B","Monocyte","gd T cells","0.01"
"28468","AGT_AGTR1B","Stromal Cells","gd T cells","0"
"28469","AGT_AGTR1B","Dendritic Cell","Granulocytes","0"
"28470","AGT_AGTR1B","Macrophage","Granulocytes","0.02"
"28471","AGT_AGTR1B","Microglia","Granulocytes","0.03"
"28472","AGT_AGTR1B","Monocyte","Granulocytes","0.01"
"28473","AGT_AGTR1B","NK Cell","Granulocytes","0.04"
"28474","AGT_AGTR1B","Stromal Cells","Granulocytes","0"
"28475","AGT_AGTR1B","Dendritic Cell","Innate Lymphocytes","0.01"
"28476","AGT_AGTR1B","Stromal Cells","Innate Lymphocytes","0"
"28477","AGT_AGTR1B","Dendritic Cell","Macrophage","0.01"
"28478","AGT_AGTR1B","Monocyte","Macrophage","0.03"
"28479","AGT_AGTR1B","Stromal Cells","Macrophage","0"
"28480","AGT_AGTR1B","Stromal Cells","Mast Cells","0"
"28481","AGT_AGTR1B","Dendritic Cell","Microglia","0"
"28482","AGT_AGTR1B","Monocyte","Microglia","0.01"
"28483","AGT_AGTR1B","Stromal Cells","Microglia","0"
"28484","AGT_AGTR1B","Dendritic Cell","Monocyte","0.02"
"28485","AGT_AGTR1B","Monocyte","Monocyte","0.04"
"28486","AGT_AGTR1B","Stromal Cells","Monocyte","0"
"28487","AGT_AGTR1B","Dendritic Cell","NK Cell","0"
"28488","AGT_AGTR1B","Macrophage","NK Cell","0"
"28489","AGT_AGTR1B","Monocyte","NK Cell","0"
"28490","AGT_AGTR1B","Stromal Cells","NK Cell","0"
"28491","AGT_AGTR1B","Stromal Cells","Stem Cells","0"
"28492","AGT_AGTR1B","Stromal Cells","Stromal Cells","0"
"28493","AGT_AGTR1B","Stromal Cells","T Cell","0"
"28494","GRP_GRPR","ab T Cell","Dendritic Cell","0"
"28495","GRP_GRPR","B Cell","Dendritic Cell","0"
"28496","GRP_GRPR","Basophils","Dendritic Cell","0"
"28497","GRP_GRPR","Dendritic Cell","Dendritic Cell","0"
"28498","GRP_GRPR","Eosinophil","Dendritic Cell","0.02"
"28499","GRP_GRPR","gd T cells","Dendritic Cell","0"
"28500","GRP_GRPR","Granulocytes","Dendritic Cell","0"
"28501","GRP_GRPR","Innate Lymphocytes","Dendritic Cell","0"
"28502","GRP_GRPR","Macrophage","Dendritic Cell","0"
"28503","GRP_GRPR","Mast Cells","Dendritic Cell","0"
"28504","GRP_GRPR","Microglia","Dendritic Cell","0"
"28505","GRP_GRPR","Monocyte","Dendritic Cell","0"
"28506","GRP_GRPR","NK Cell","Dendritic Cell","0"
"28507","GRP_GRPR","Stem Cells","Dendritic Cell","0"
"28508","GRP_GRPR","Stromal Cells","Dendritic Cell","0"
"28509","GRP_GRPR","T Cell","Dendritic Cell","0"
"28510","GRP_GRPR","Stromal Cells","gd T cells","0.02"
"28511","GRP_GRPR","ab T Cell","Macrophage","0"
"28512","GRP_GRPR","B Cell","Macrophage","0"
"28513","GRP_GRPR","Dendritic Cell","Macrophage","0"
"28514","GRP_GRPR","Innate Lymphocytes","Macrophage","0.03"
"28515","GRP_GRPR","Macrophage","Macrophage","0"
"28516","GRP_GRPR","Microglia","Macrophage","0.02"
"28517","GRP_GRPR","Monocyte","Macrophage","0"
"28518","GRP_GRPR","NK Cell","Macrophage","0.01"
"28519","GRP_GRPR","Stem Cells","Macrophage","0.01"
"28520","GRP_GRPR","Stromal Cells","Macrophage","0.02"
"28521","GRP_GRPR","T Cell","Macrophage","0"
"28522","GRP_GRPR","ab T Cell","Monocyte","0.04"
"28523","GRP_GRPR","B Cell","Monocyte","0.04"
"28524","GRP_GRPR","Dendritic Cell","Monocyte","0.04"
"28525","GRP_GRPR","Macrophage","Monocyte","0.04"
"28526","GRP_GRPR","Monocyte","Monocyte","0.04"
"28527","GRP_GRPR","Stromal Cells","Monocyte","0.02"
"28528","GRP_GRPR","T Cell","Monocyte","0.04"
"28529","GRP_GRPR","ab T Cell","Stromal Cells","0.04"
"28530","GRP_GRPR","B Cell","Stromal Cells","0.04"
"28531","GRP_GRPR","Dendritic Cell","Stromal Cells","0.04"
"28532","GRP_GRPR","Eosinophil","Stromal Cells","0.02"
"28533","GRP_GRPR","gd T cells","Stromal Cells","0.04"
"28534","GRP_GRPR","Innate Lymphocytes","Stromal Cells","0.04"
"28535","GRP_GRPR","Macrophage","Stromal Cells","0.04"
"28536","GRP_GRPR","Mast Cells","Stromal Cells","0.04"
"28537","GRP_GRPR","Microglia","Stromal Cells","0.04"
"28538","GRP_GRPR","Monocyte","Stromal Cells","0.04"
"28539","GRP_GRPR","NK Cell","Stromal Cells","0.04"
"28540","GRP_GRPR","Stem Cells","Stromal Cells","0.04"
"28541","GRP_GRPR","Stromal Cells","Stromal Cells","0"
"28542","GRP_GRPR","T Cell","Stromal Cells","0.04"
"28543","NMB_NMBR","ab T Cell","ab T Cell","0"
"28544","NMB_NMBR","B Cell","ab T Cell","0.01"
"28545","NMB_NMBR","Basophils","ab T Cell","0.02"
"28546","NMB_NMBR","Eosinophil","ab T Cell","0"
"28547","NMB_NMBR","gd T cells","ab T Cell","0"
"28548","NMB_NMBR","Innate Lymphocytes","ab T Cell","0"
"28549","NMB_NMBR","Mast Cells","ab T Cell","0"
"28550","NMB_NMBR","NK Cell","ab T Cell","0"
"28551","NMB_NMBR","Stromal Cells","ab T Cell","0.03"
"28552","NMB_NMBR","ab T Cell","B Cell","0"
"28553","NMB_NMBR","B Cell","B Cell","0"
"28554","NMB_NMBR","Basophils","B Cell","0.02"
"28555","NMB_NMBR","Eosinophil","B Cell","0"
"28556","NMB_NMBR","gd T cells","B Cell","0"
"28557","NMB_NMBR","Innate Lymphocytes","B Cell","0"
"28558","NMB_NMBR","Mast Cells","B Cell","0"
"28559","NMB_NMBR","NK Cell","B Cell","0"
"28560","NMB_NMBR","Stromal Cells","B Cell","0.03"
"28561","NMB_NMBR","T Cell","B Cell","0.02"
"28562","NMB_NMBR","ab T Cell","Basophils","0"
"28563","NMB_NMBR","Basophils","Basophils","0"
"28564","NMB_NMBR","Eosinophil","Basophils","0"
"28565","NMB_NMBR","gd T cells","Basophils","0"
"28566","NMB_NMBR","Innate Lymphocytes","Basophils","0"
"28567","NMB_NMBR","Mast Cells","Basophils","0"
"28568","NMB_NMBR","NK Cell","Basophils","0.02"
"28569","NMB_NMBR","Stromal Cells","Basophils","0.04"
"28570","NMB_NMBR","ab T Cell","Dendritic Cell","0"
"28571","NMB_NMBR","Basophils","Dendritic Cell","0.03"
"28572","NMB_NMBR","Eosinophil","Dendritic Cell","0"
"28573","NMB_NMBR","gd T cells","Dendritic Cell","0"
"28574","NMB_NMBR","Innate Lymphocytes","Dendritic Cell","0"
"28575","NMB_NMBR","Mast Cells","Dendritic Cell","0"
"28576","NMB_NMBR","NK Cell","Dendritic Cell","0"
"28577","NMB_NMBR","Stromal Cells","Dendritic Cell","0.04"
"28578","NMB_NMBR","ab T Cell","Eosinophil","0"
"28579","NMB_NMBR","B Cell","Eosinophil","0"
"28580","NMB_NMBR","Basophils","Eosinophil","0"
"28581","NMB_NMBR","Dendritic Cell","Eosinophil","0"
"28582","NMB_NMBR","Eosinophil","Eosinophil","0"
"28583","NMB_NMBR","gd T cells","Eosinophil","0"
"28584","NMB_NMBR","Granulocytes","Eosinophil","0"
"28585","NMB_NMBR","Innate Lymphocytes","Eosinophil","0"
"28586","NMB_NMBR","Macrophage","Eosinophil","0"
"28587","NMB_NMBR","Mast Cells","Eosinophil","0"
"28588","NMB_NMBR","Microglia","Eosinophil","0"
"28589","NMB_NMBR","Monocyte","Eosinophil","0"
"28590","NMB_NMBR","NK Cell","Eosinophil","0"
"28591","NMB_NMBR","Stem Cells","Eosinophil","0"
"28592","NMB_NMBR","Stromal Cells","Eosinophil","0"
