"interaction","cell1","cell2","p-value"
"WNT8B_FZD2_LRP6","Spleen","Spleen","0.03"
"WNT8B_FZD3_LRP6","Spleen","Peritoneal Cavity","0.02"
"WNT8B_FZD3_LRP6","Spleen","Spleen","0.03"
"WNT8B_FZD4_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD4_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD5_LRP6","Peritoneal Cavity","Spleen","0.02"
"WNT8B_FZD5_LRP6","Spleen","Spleen","0"
"WNT8B_FZD6_LRP6",NA,NA,NA
"WNT8B_FZD6_LRP6","WNT8B_FZD6_LRP6","WNT8B_FZD6_LRP6","WNT8B_FZD6_LRP6"
"WNT8B_FZD7_LRP6","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT8B_FZD7_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD8_LRP6","Peritoneal Cavity","Peritoneal Cavity","0.02"
"WNT8B_FZD8_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD9_LRP6","Spleen","Peritoneal Cavity","0"
"WNT8B_FZD9_LRP6","Spleen","Spleen","0.03"
"WNT5A_FZD1","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5A_FZD1","Spleen","Peritoneal Cavity","0"
"WNT5A_FZD4","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5A_FZD4","Spleen","Peritoneal Cavity","0"
"WNT5A_FZD5","Peritoneal Cavity","Spleen","0"
"WNT5A_FZD5","Spleen","Spleen","0"
"WNT5A_FZD7","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5A_FZD7","Spleen","Peritoneal Cavity","0"
"WNT5A_MCAM","Peritoneal Cavity","Spleen","0"
"WNT5A_MCAM","Spleen","Spleen","0"
"WNT5B_FZD1","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5B_FZD1","Spleen","Peritoneal Cavity","0"
"WNT5B_FZD4","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5B_FZD4","Spleen","Peritoneal Cavity","0"
"WNT5B_FZD5","Peritoneal Cavity","Spleen","0.02"
"WNT5B_FZD5","Spleen","Spleen","0"
"WNT5B_FZD7","Peritoneal Cavity","Peritoneal Cavity","0"
"WNT5B_FZD7","Spleen","Peritoneal Cavity","0"
"EGF_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"EGF_EGFR","Spleen","Peritoneal Cavity","0"
"EGF_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
"EGF_EGFR_ERBB2","Spleen","Peritoneal Cavity","0"
"BTC_EGFR","Peritoneal Cavity","Peritoneal Cavity","0"
"BTC_EGFR","Spleen","Peritoneal Cavity","0"
"BTC_EGFR_ERBB2","Peritoneal Cavity","Peritoneal Cavity","0"
